"","error_rate","red","green","blue"
"209",0.00105701804056138,71.2,37.12,111.56
"210",0.00106437018245336,71.1,37.76,111.88
"211",0.00107177346253629,71,38.4,112.2
"212",0.00107922823650443,70.9,39.04,112.52
"213",0.00108673486252606,70.8,39.68,112.84
"214",0.00109429370126074,70.7,40.32,113.16
"215",0.00110190511587661,70.6,40.96,113.48
"216",0.00110956947206785,70.5,41.6,113.8
"217",0.00111728713807222,70.4,42.24,114.12
"218",0.00112505848468881,70.3,42.88,114.44
"219",0.0011328838852958,70.2,43.52,114.76
"220",0.00114076371586842,70.1,44.16,115.08
"221",0.00114869835499704,70,44.8,115.4
"222",0.00115668818390529,69.9,45.44,115.72
"223",0.00116473358646846,69.8,46.08,116.04
"224",0.00117283494923188,69.7,46.72,116.36
"225",0.00118099266142953,69.6,47.36,116.68
"226",0.00118920711500272,69.5,48,117
"227",0.00119747870461893,69.4,48.64,117.32
"228",0.00120580782769076,69.3,49.28,117.64
"229",0.00121419488439505,69.2,49.92,117.96
"230",0.00122264027769207,69.1,50.56,118.28
"231",0.00123114441334492,69,51.2,118.6
"232",0.00123970769993899,68.9,51.84,118.92
"233",0.00124833054890161,68.8,52.48,119.24
"234",0.00125701337452183,68.7,53.12,119.56
"235",0.00126575659397028,68.6,53.76,119.88
"236",0.00127456062731926,68.5,54.4,120.2
"237",0.0012834258975629,68.4,55.04,120.52
"238",0.00129235283063749,68.3,55.68,120.84
"239",0.00130134185544193,68.2,56.32,121.16
"240",0.00131039340385836,68.1,56.96,121.48
"241",0.00131950791077289,68,57.6,121.8
"242",0.00132868581409651,67.9,58.24,122.12
"243",0.00133792755478611,67.8,58.88,122.44
"244",0.00134723357686569,67.7,59.52,122.76
"245",0.00135660432744767,67.6,60.16,123.08
"246",0.0013660402567544,67.5,60.8,123.4
"247",0.00137554181813974,67.4,61.44,123.72
"248",0.00138510946811092,67.3,62.08,124.04
"249",0.00139474366635041,67.2,62.72,124.36
"250",0.001404444875738,67.1,63.36,124.68
"251",0.0014142135623731,67,64,125
"252",0.00142405019559707,66.9,64.64,125.32
"253",0.00143395524801583,66.8,65.28,125.64
"254",0.0014439291955225,66.7,65.92,125.96
"255",0.00145397251732031,66.6,66.56,126.28
"256",0.00146408569594563,66.5,67.2,126.6
"257",0.0014742692172911,66.4,67.84,126.92
"258",0.00148452357062905,66.3,68.48,127.24
"259",0.00149484924863494,66.2,69.12,127.56
"260",0.00150524674741107,66.1,69.76,127.88
"261",0.0015157165665104,66,70.4,128.2
"262",0.00152625920896056,65.9,71.04,128.52
"263",0.00153687518128801,65.8,71.68,128.84
"264",0.00154756499354239,65.7,72.32,129.16
"265",0.001558329159321,65.6,72.96,129.48
"266",0.0015691681957935,65.5,73.6,129.8
"267",0.00158008262372675,65.4,74.24,130.12
"268",0.00159107296750984,65.3,74.88,130.44
"269",0.00160213975517924,65.2,75.52,130.76
"270",0.00161328351844425,65.1,76.16,131.08
"271",0.00162450479271247,65,76.8,131.4
"272",0.00163580411711556,64.9,77.44,131.72
"273",0.00164718203453515,64.8,78.08,132.04
"274",0.00165863909162888,64.7,78.72,132.36
"275",0.00167017583885674,64.6,79.36,132.68
"276",0.00168179283050743,64.5,80,133
"277",0.00169349062472505,64.4,80.64,133.32
"278",0.00170526978353591,64.3,81.28,133.64
"279",0.00171713087287551,64.2,81.92,133.96
"280",0.00172907446261573,64.1,82.56,134.28
"281",0.00174110112659225,64,83.2,134.6
"282",0.00175321144263207,63.9,83.84,134.92
"283",0.00176540599258131,63.8,84.48,135.24
"284",0.00177768536233314,63.7,85.12,135.56
"285",0.00179005014185595,63.6,85.76,135.88
"286",0.00180250092522166,63.5,86.4,136.2
"287",0.00181503831063432,63.4,87.04,136.52
"288",0.0018276629004588,63.3,87.68,136.84
"289",0.00184037530124975,63.2,88.32,137.16
"290",0.00185317612378074,63.1,88.96,137.48
"291",0.00186606598307361,63,89.6,137.8
"292",0.00187904549842802,62.9,90.24,138.12
"293",0.00189211529345119,62.8,90.88,138.44
"294",0.00190527599608787,62.7,91.52,138.76
"295",0.00191852823865053,62.6,92.16,139.08
"296",0.00193187265784969,62.5,92.8,139.4
"297",0.00194530989482457,62.4,93.44,139.72
"298",0.00195884059517385,62.3,94.08,140.04
"299",0.00197246540898672,62.2,94.72,140.36
"300",0.00198618499087407,62.1,95.36,140.68
"301",0.002,62,96,141
"302",0.00200812576459985,61.97,96.31,141.01
"303",0.00201628454322486,61.94,96.62,141.02
"304",0.00202447647000714,61.91,96.93,141.03
"305",0.00203270167962374,61.88,97.24,141.04
"306",0.00204096030729891,61.85,97.55,141.05
"307",0.00204925248880628,61.82,97.86,141.06
"308",0.00205757836047112,61.79,98.17,141.07
"309",0.00206593805917258,61.76,98.48,141.08
"310",0.00207433172234593,61.73,98.79,141.09
"311",0.00208275948798482,61.7,99.1,141.1
"312",0.00209122149464355,61.67,99.41,141.11
"313",0.00209971788143936,61.64,99.72,141.12
"314",0.00210824878805469,61.61,100.03,141.13
"315",0.00211681435473951,61.58,100.34,141.14
"316",0.00212541472231361,61.55,100.65,141.15
"317",0.00213405003216889,61.52,100.96,141.16
"318",0.00214272042627174,61.49,101.27,141.17
"319",0.00215142604716532,61.46,101.58,141.18
"320",0.00216016703797194,61.43,101.89,141.19
"321",0.0021689435423954,61.4,102.2,141.2
"322",0.00217775570472333,61.37,102.51,141.21
"323",0.00218660366982961,61.34,102.82,141.22
"324",0.0021954875831767,61.31,103.13,141.23
"325",0.00220440759081809,61.28,103.44,141.24
"326",0.00221336383940064,61.25,103.75,141.25
"327",0.00222235647616703,61.22,104.06,141.26
"328",0.00223138564895817,61.19,104.37,141.27
"329",0.00224045150621563,61.16,104.68,141.28
"330",0.00224955419698407,61.13,104.99,141.29
"331",0.00225869387091371,61.1,105.3,141.3
"332",0.00226787067826279,61.07,105.61,141.31
"333",0.00227708476990002,61.04,105.92,141.32
"334",0.00228633629730707,61.01,106.23,141.33
"335",0.00229562541258107,60.98,106.54,141.34
"336",0.0023049522684371,60.95,106.85,141.35
"337",0.0023143170182107,60.92,107.16,141.36
"338",0.0023237198158604,60.89,107.47,141.37
"339",0.00233316081597024,60.86,107.78,141.38
"340",0.00234264017375232,60.83,108.09,141.39
"341",0.00235215804504935,60.8,108.4,141.4
"342",0.0023617145863372,60.77,108.71,141.41
"343",0.0023713099547275,60.74,109.02,141.42
"344",0.00238094430797019,60.71,109.33,141.43
"345",0.00239061780445615,60.68,109.64,141.44
